,h,l,n,authority_sent,cor,cor_abs
502,175,500,150,authority_sent,0.3627,0.3627
503,175,500,175,authority_sent,0.3574,0.3574
504,200,25,25,authority_sent,-0.2181,0.2181
505,200,50,25,authority_sent,-0.3758,0.3758
506,200,50,50,authority_sent,-0.2767,0.2767
507,200,75,25,authority_sent,-0.4287,0.4287
508,200,75,50,authority_sent,-0.3825,0.3825
509,200,75,75,authority_sent,-0.3057,0.3057
510,200,100,25,authority_sent,0.4349,0.4349
511,200,100,50,authority_sent,-0.4532,0.4532
512,200,100,75,authority_sent,-0.4153,0.4153
513,200,100,100,authority_sent,-0.3206,0.3206
514,200,125,25,authority_sent,0.42,0.42
515,200,125,50,authority_sent,-0.4567,0.4567
516,200,125,75,authority_sent,-0.4471,0.4471
517,200,125,100,authority_sent,-0.4165,0.4165
518,200,125,125,authority_sent,0.3592,0.3592
519,200,150,25,authority_sent,0.3865,0.3865
520,200,150,50,authority_sent,0.4716,0.4716
521,200,150,75,authority_sent,-0.4819,0.4819
522,200,150,100,authority_sent,-0.4589,0.4589
523,200,150,125,authority_sent,-0.4321,0.4321
524,200,150,150,authority_sent,-0.3927,0.3927
525,200,175,25,authority_sent,-0.3856,0.3856
526,200,175,50,authority_sent,-0.4795,0.4795
527,200,175,75,authority_sent,-0.4689,0.4689
528,200,175,100,authority_sent,-0.4862,0.4862
529,200,175,125,authority_sent,-0.4625,0.4625
530,200,175,150,authority_sent,-0.4417,0.4417
531,200,175,175,authority_sent,-0.4036,0.4036
532,200,200,25,authority_sent,-0.3811,0.3811
533,200,200,50,authority_sent,-0.4261,0.4261
534,200,200,75,authority_sent,-0.4541,0.4541
535,200,200,100,authority_sent,0.4929,0.4929
536,200,200,125,authority_sent,-0.4809,0.4809
537,200,200,150,authority_sent,-0.4605,0.4605
538,200,200,175,authority_sent,-0.4406,0.4406
539,200,200,200,authority_sent,-0.4073,0.4073
540,200,225,25,authority_sent,0.3926,0.3926
541,200,225,50,authority_sent,-0.4448,0.4448
542,200,225,75,authority_sent,-0.4589,0.4589
543,200,225,100,authority_sent,-0.4867,0.4867
544,200,225,125,authority_sent,-0.4907,0.4907
545,200,225,150,authority_sent,-0.4785,0.4785
546,200,225,175,authority_sent,-0.4617,0.4617
547,200,225,200,authority_sent,-0.4689,0.4689
548,200,250,25,authority_sent,-0.3494,0.3494
549,200,250,50,authority_sent,-0.4126,0.4126
550,200,250,75,authority_sent,-0.4596,0.4596
551,200,250,100,authority_sent,-0.4598,0.4598
552,200,250,125,authority_sent,-0.4846,0.4846
553,200,250,150,authority_sent,0.4762,0.4762
554,200,250,175,authority_sent,0.4746,0.4746
555,200,250,200,authority_sent,0.4702,0.4702
556,200,275,25,authority_sent,-0.3394,0.3394
557,200,275,50,authority_sent,-0.3958,0.3958
558,200,275,75,authority_sent,-0.4574,0.4574
559,200,275,100,authority_sent,-0.4501,0.4501
560,200,275,125,authority_sent,0.4613,0.4613
561,200,275,150,authority_sent,0.4547,0.4547
562,200,275,175,authority_sent,0.4458,0.4458
563,200,275,200,authority_sent,0.4427,0.4427
564,200,300,25,authority_sent,0.3422,0.3422
565,200,300,50,authority_sent,-0.3835,0.3835
566,200,300,75,authority_sent,-0.4273,0.4273
567,200,300,100,authority_sent,-0.4342,0.4342
568,200,300,125,authority_sent,0.4458,0.4458
569,200,300,150,authority_sent,-0.4458,0.4458
